LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit.Code,Unit,PowerCode.Code,PowerCode,Reference.Period.Code,Reference.Period,Value,Flag.Codes,Flags
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2017-08,Aug-2017,IDX,Index,0,Units,2015_100,2015=100,103.2,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2017-09,Sep-2017,IDX,Index,0,Units,2015_100,2015=100,102.6,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2017-10,Oct-2017,IDX,Index,0,Units,2015_100,2015=100,102.9,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2017-11,Nov-2017,IDX,Index,0,Units,2015_100,2015=100,102.4,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2017-12,Dec-2017,IDX,Index,0,Units,2015_100,2015=100,100.9,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2018-01,Jan-2018,IDX,Index,0,Units,2015_100,2015=100,103.5,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2018-02,Feb-2018,IDX,Index,0,Units,2015_100,2015=100,105.5,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2018-03,Mar-2018,IDX,Index,0,Units,2015_100,2015=100,103.6,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2018-04,Apr-2018,IDX,Index,0,Units,2015_100,2015=100,103.8,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2018-05,May-2018,IDX,Index,0,Units,2015_100,2015=100,103.9,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2018-06,Jun-2018,IDX,Index,0,Units,2015_100,2015=100,104.4,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2018-07,Jul-2018,IDX,Index,0,Units,2015_100,2015=100,108.2,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2018-08,Aug-2018,IDX,Index,0,Units,2015_100,2015=100,106.5,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2018-09,Sep-2018,IDX,Index,0,Units,2015_100,2015=100,106.1,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2018-10,Oct-2018,IDX,Index,0,Units,2015_100,2015=100,105.3,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2018-11,Nov-2018,IDX,Index,0,Units,2015_100,2015=100,106.8,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2018-12,Dec-2018,IDX,Index,0,Units,2015_100,2015=100,104.3,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2019-01,Jan-2019,IDX,Index,0,Units,2015_100,2015=100,104.7,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2019-02,Feb-2019,IDX,Index,0,Units,2015_100,2015=100,107.6,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2019-03,Mar-2019,IDX,Index,0,Units,2015_100,2015=100,106.6,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2019-04,Apr-2019,IDX,Index,0,Units,2015_100,2015=100,105.8,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2019-05,May-2019,IDX,Index,0,Units,2015_100,2015=100,104.9,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2019-06,Jun-2019,IDX,Index,0,Units,2015_100,2015=100,105.7,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2019-07,Jul-2019,IDX,Index,0,Units,2015_100,2015=100,110.1,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2019-08,Aug-2019,IDX,Index,0,Units,2015_100,2015=100,107.5,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2019-09,Sep-2019,IDX,Index,0,Units,2015_100,2015=100,106.9,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2019-10,Oct-2019,IDX,Index,0,Units,2015_100,2015=100,105.7,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2019-11,Nov-2019,IDX,Index,0,Units,2015_100,2015=100,105.9,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2019-12,Dec-2019,IDX,Index,0,Units,2015_100,2015=100,103.9,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2020-01,Jan-2020,IDX,Index,0,Units,2015_100,2015=100,106.9,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2020-02,Feb-2020,IDX,Index,0,Units,2015_100,2015=100,109.8,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2020-03,Mar-2020,IDX,Index,0,Units,2015_100,2015=100,109.5,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2020-04,Apr-2020,IDX,Index,0,Units,2015_100,2015=100,110.5,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2020-05,May-2020,IDX,Index,0,Units,2015_100,2015=100,109.8,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2020-06,Jun-2020,IDX,Index,0,Units,2015_100,2015=100,108.9,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2020-07,Jul-2020,IDX,Index,0,Units,2015_100,2015=100,112.5,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2020-08,Aug-2020,IDX,Index,0,Units,2015_100,2015=100,111.5,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2020-09,Sep-2020,IDX,Index,0,Units,2015_100,2015=100,111,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2020-10,Oct-2020,IDX,Index,0,Units,2015_100,2015=100,110.1,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2020-11,Nov-2020,IDX,Index,0,Units,2015_100,2015=100,109.6,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2020-12,Dec-2020,IDX,Index,0,Units,2015_100,2015=100,106.8,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2021-01,Jan-2021,IDX,Index,0,Units,2015_100,2015=100,107.7,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2021-02,Feb-2021,IDX,Index,0,Units,2015_100,2015=100,109.9,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2021-03,Mar-2021,IDX,Index,0,Units,2015_100,2015=100,109.2,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2021-04,Apr-2021,IDX,Index,0,Units,2015_100,2015=100,108.2,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2021-05,May-2021,IDX,Index,0,Units,2015_100,2015=100,107.6,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2021-06,Jun-2021,IDX,Index,0,Units,2015_100,2015=100,107,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2021-07,Jul-2021,IDX,Index,0,Units,2015_100,2015=100,109.4,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2021-08,Aug-2021,IDX,Index,0,Units,2015_100,2015=100,108.3,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2021-09,Sep-2021,IDX,Index,0,Units,2015_100,2015=100,106.8,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2021-10,Oct-2021,IDX,Index,0,Units,2015_100,2015=100,105.7,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2021-11,Nov-2021,IDX,Index,0,Units,2015_100,2015=100,105.6,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2021-12,Dec-2021,IDX,Index,0,Units,2015_100,2015=100,104.8,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2022-01,Jan-2022,IDX,Index,0,Units,2015_100,2015=100,106,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2022-02,Feb-2022,IDX,Index,0,Units,2015_100,2015=100,110.8,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2022-03,Mar-2022,IDX,Index,0,Units,2015_100,2015=100,109.2,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2022-04,Apr-2022,IDX,Index,0,Units,2015_100,2015=100,110,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2022-05,May-2022,IDX,Index,0,Units,2015_100,2015=100,110.4,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2022-06,Jun-2022,IDX,Index,0,Units,2015_100,2015=100,112.3,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2022-07,Jul-2022,IDX,Index,0,Units,2015_100,2015=100,120.8,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2022-08,Aug-2022,IDX,Index,0,Units,2015_100,2015=100,119.5,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2022-09,Sep-2022,IDX,Index,0,Units,2015_100,2015=100,119.7,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2022-10,Oct-2022,IDX,Index,0,Units,2015_100,2015=100,119.5,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2022-11,Nov-2022,IDX,Index,0,Units,2015_100,2015=100,119,"",""
PRT,Portugal,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2015-01,Jan-2015,IDX,Index,0,Units,2015_100,2015=100,99.95078,"",""
PRT,Portugal,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2015-02,Feb-2015,IDX,Index,0,Units,2015_100,2015=100,99.64465,"",""
PRT,Portugal,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2015-03,Mar-2015,IDX,Index,0,Units,2015_100,2015=100,99.56985,"",""
